First Name,Surname,Country,Specialism,Reserve Price Rs Lakh, C A U
Martin,Guptill,New Zealand,BATSMEN,100,Capped
Alex,Hales ,England,BATSMEN,150,Capped
Shimron,Hetmyer,West Indies,BATSMEN,50,Capped
Brendon,McCullum,New Zealand,BATSMEN,200,Capped
Cheteshwar ,Pujara,India,BATSMEN,50,Capped
Manoj ,Tiwary,India,BATSMEN,50,Capped
Hanuma,Vihari,India,BATSMEN,50,Capped
Carlos,Brathwaite,West Indies,ALL_ROUNDERS,75,Capped
Moises,Henriques,Australia,ALL_ROUNDERS,100,Capped
Chris,Jordan,England,ALL_ROUNDERS,100,Capped
Axar ,Patel,India,ALL_ROUNDERS,100,Capped
Yuvraj,Singh,India,ALL_ROUNDERS,100,Capped
Gurkeerat,Singh,India,ALL_ROUNDERS,50,Capped
Chris,Woakes ,England,ALL_ROUNDERS,200,Capped
Jonny,Bairstow ,England,WICKET_KEEPERS,150,Capped
Ben,McDermott,Australia,WICKET_KEEPERS,50,Capped
Naman ,Ojha,India,WICKET_KEEPERS,75,Capped
Nicholas,Pooran,West Indies,WICKET_KEEPERS,75,Capped
Wriddhiman ,Saha,India,WICKET_KEEPERS,100,Capped
Varun,Aaron,India,BOWLERS,50,Capped
Lasith,Malinga,Sri Lanka,BOWLERS,200,Capped
Mohammad,Shami,India,BOWLERS,100,Capped
Ishant,Sharma,India,BOWLERS,75,Capped
Mohit,Sharma,India,BOWLERS,50,Capped
Jaydev,Unadkat,India,BOWLERS,150,Capped
Fawad,Ahmed,Australia,BOWLERS,50,Capped
Khary,Pierre,West Indies,BOWLERS,50,Capped
Rahul,Sharma,India,BOWLERS,50,Capped
Adam,Zampa,Australia,BOWLERS,100,Capped
Sachin,Baby,India,BATSMEN,20,Uncapped
Ankeet,Bawane,India,BATSMEN,20,Uncapped
Armaan,Jaffer,India,BATSMEN,20,Uncapped
Devdutt,Padikkal,India,BATSMEN,20,Uncapped
Anmolpreet,Singh,India,BATSMEN,20,Uncapped
Manan,Vohra,India,BATSMEN,20,Uncapped
Ayush,Badoni,India,ALL_ROUNDERS,20,Uncapped
Varun,Chakaravarthy,India,ALL_ROUNDERS,20,Uncapped
Shivam,Dube,India,ALL_ROUNDERS,20,Uncapped
Sarfaraz,Khan,India,ALL_ROUNDERS,20,Uncapped
Akshdeep ,Nath,India,ALL_ROUNDERS,20,Uncapped
Jalaj,Saxena,India,ALL_ROUNDERS,20,Uncapped
Ankush,Bains,India,WICKET_KEEPERS,20,Uncapped
Arun Karthick,Basker,India,WICKET_KEEPERS,20,Uncapped
K.S,Bharat,India,WICKET_KEEPERS,20,Uncapped
Baba,Indrajith,India,WICKET_KEEPERS,20,Uncapped
Sheldon,Jackson,India,WICKET_KEEPERS,20,Uncapped
Anuj,Rawat,India,WICKET_KEEPERS,20,Uncapped
Aniket,Choudhary,India,BOWLERS,20,Uncapped
Tushar,Deshpande,India,BOWLERS,20,Uncapped
Rajneesh,Gurbani,India,BOWLERS,20,Uncapped
Chama,Milind,India,BOWLERS,20,Uncapped
Ishan,Porel,India,BOWLERS,20,Uncapped
Nathu,Singh,India,BOWLERS,20,Uncapped
Murugan,Ashwin,India,BOWLERS,20,Uncapped
K C,Cariappa,India,BOWLERS,20,Uncapped
Yuvraj,Chudasama,India,BOWLERS,20,Uncapped
Zahir Khan,Pakteen,Afghanistan,BOWLERS,40,Uncapped
Ravi ,Sai Kishore,India,BOWLERS,20,Uncapped
Jagadeesha,Suchith,India,BOWLERS,20,Uncapped
Hashim,Amla,South Africa,BATSMEN,100,Capped
Reeza,Hendricks,South Africa,BATSMEN,50,Capped
Colin,Ingram,South Africa,BATSMEN,200,Capped
Usman,Khawaja,Australia,BATSMEN,100,Capped
Shaun,Marsh,Australia,BATSMEN,200,Capped
Saurabh,Tiwary,India,BATSMEN,50,Capped
Hazratullah,Zazai,Afghanistan,BATSMEN,50,Capped
Corey,Anderson,New Zealand,ALL_ROUNDERS,200,Capped
Sam,Curran,England,ALL_ROUNDERS,200,Capped
Rishi,Dhawan,India,ALL_ROUNDERS,50,Capped
Jason,Holder,West Indies,ALL_ROUNDERS,75,Capped
Angelo,Mathews,Sri Lanka,ALL_ROUNDERS,200,Capped
James,Neesham,New Zealand,ALL_ROUNDERS,75,Capped
Parvez,Rasool,India,ALL_ROUNDERS,50,Capped
Heinrich,Klaasen,South Africa,WICKET_KEEPERS,50,Capped
Kusal,Perera,Sri Lanka,WICKET_KEEPERS,75,Capped
Glenn,Phillips,New Zealand,WICKET_KEEPERS,50,Capped
Mushfiqur,Rahim,Bangladesh,WICKET_KEEPERS,50,Capped
Luke,Ronchi,New Zealand,WICKET_KEEPERS,75,Capped
Mithun,Abhimanyu,India,BOWLERS,50,Capped
Lockie,Ferguson,New Zealand,BOWLERS,100,Capped
 R Vinay ,Kumar,India,BOWLERS,50,Capped
